STAR	REF
KUV 15519+1730	2014MNRAS.444.2147B
HS 2132+0941	2014MNRAS.444.2147B
LP 475-242	2013ApJ...770..140Z
WD 1124-293	2012ApJ...754...59D
WD 0421+162	2013MNRAS.432.1955F
WD 0431+126	2013MNRAS.432.1955F
SDSS0959	2012MNRAS.421.1635F
SDSS1221	2012MNRAS.421.1635F
SDSS1557	2012MNRAS.421.1635F
GD 31	2013ApJ...770..140Z
HE 1349-2305	2012ApJ...751L...4M
SDSS J1617+1620	2014MNRAS.445.1878W
PG 0843+516	2012MNRAS.424..333G
PG 1015+161	2012MNRAS.424..333G
SDSS 1228+1040	2012MNRAS.424..333G
GALEX 1931+0117	2012MNRAS.424..333G
GD 61	2013Sci...342..218F
GALEX J1717+6757	2014MNRAS.444.1674H
GD 362	2007AAS...211.5020F
G29-38	2014MNRAS.444.1821F
SDSSJ1043+0855	2007MNRAS.380L..35G
GD 241-6	2012MNRAS.424..464F
G238-44	2009AAS...21333302M
GD 40	2012MNRAS.424..464F
HS 2253+8023	2012MNRAS.424..464F
J0738+1835	2012ApJ...749....6D
SDSS 0738	2012MNRAS.424..464F
G29-38	2014ApJ...783...79X
GD 133	2014ApJ...783...79X
GD 56	2009AJ....137.3191J
GD 16	2009AJ....137.3191J
LTT 8452	2009AJ....137.3191J
EC 11507-153	2009AJ....137.3191J
114758.61+283156.2	2014ApJ...786...77B
123432.63+560643.0	2014ApJ...786...77B
150701.98+324545.1	2014ApJ...786...77B
153725.71+515126.9	2014ApJ...786...77B
NLTT 25792	2013ApJ...779...70V
WD 1124-293	2012ApJ...754...59D
PG 1541+651	2012MNRAS.419L..59K
WD 0232+035c	2013MNRAS.428.1873D
WD 0232+035d	2013MNRAS.428.1873D
WD 0501+527	2013MNRAS.428.1873D
WD 0556-375	2013MNRAS.428.1873D
WD 0939+262	2013MNRAS.428.1873D
WD 1611-084	2013MNRAS.428.1873D
WD 2218+706	2013MNRAS.428.1873D
000410.42−034008.5	2011ApJS..197...38D
000641.08+273716.6	2011ApJS..197...38D
001306.21+005506.3	2011ApJS..197...38D
WD 1337+705	2007MNRAS.380L..35G
PG 1457-086	2009ApJ...694..805F
NLTT 53908	2014MNRAS.439L..90K
NLTT 10480	2014MNRAS.439L..90K
NLTT 888	2014MNRAS.439L..90K
114758.61+283156.2	2014ApJ...786...77B
150701.98+324545.1	2014ApJ...786...77B
155955.27+263519.2	2014ApJ...786...77B
153725.71+515126.9	2014ApJ...786...77B
123432.63+560643.0	2014ApJ...786...77B
i000410.42−034008.	2014ApJ...782...20W
i011616.95−094347	2014ApJ...782...20W
i074631.42+173448	2014ApJ...782...20W
i083633.00+37425	2014ApJ...782...20W
i101007.89+615	2014ApJ...782...20W
i102915.97+300	2014ApJ...782...20W
i231725.29−084032	2014ApJ...782...20W
030253.09-010833.7	2014ApJ...786...77B
WD1455+298	2014ApJ...786...77B
161717.04+162022.3.	2014ApJ...786...77B
WD1226+110	2014ApJ...786...77B
104341.53+085558.2	2014ApJ...786...77B
122859.93+104032.9	2014ApJ...786...77B
161717.04+162022.3.	2014ApJ...786...77B
