# JD	Flux	Error
2.457127643854166847e+06 1.151732569894835967e+00 1.767546655907779873e-02
2.457127643969907425e+06 1.035007061125539973e+00 1.573777832888876779e-02
2.457127644085648004e+06 9.631054834395181841e-01 1.424667339828697421e-02
2.457127644201389048e+06 9.423430365858209701e-01 1.478143939813017504e-02
2.457127644317129627e+06 1.050047760291824783e+00 1.598716185120376346e-02
2.457127644432870205e+06 1.017848251816395599e+00 1.554753467253774078e-02
2.457127644548611250e+06 1.052290241997164033e+00 1.606105571232370466e-02
2.457127644664351828e+06 9.763454399422718533e-01 1.478817123206480240e-02
2.457127644780092407e+06 1.006029760432508358e+00 1.535908790705012815e-02
2.457127644895833451e+06 9.251503957876761053e-01 1.507203375278193432e-02
2.457127645011574030e+06 1.020599440783459766e+00 1.590054725197029631e-02
2.457127645127314609e+06 9.118014923113670900e-01 1.524279110613250415e-02
2.457127645243055653e+06 8.293613023619123004e-01 1.471884358942820992e-02
2.457127645358796231e+06 8.415852810136376094e-01 1.465357961026534685e-02
2.457127645474536810e+06 7.712135861575409868e-01 1.368941635607189532e-02
2.457127645590277854e+06 8.939987414448198333e-01 1.570178184011415679e-02
2.457127645706018433e+06 9.612590995841434616e-01 1.601601124534262482e-02
2.457127645821759477e+06 9.108991302279001445e-01 1.472521904671387528e-02
2.457127645937500056e+06 8.722410906087326721e-01 1.379867365003923686e-02
2.457127646053240635e+06 1.004510031198483366e+00 1.551630034695364486e-02
2.457127646168981679e+06 1.077168582388006168e+00 1.650426387675484746e-02
2.457127646284722257e+06 1.047920175015380595e+00 1.573040871277540595e-02
2.457127646400462836e+06 1.009926921750251338e+00 1.533387466487463706e-02
2.457127646516203880e+06 1.003425166831401816e+00 1.557714635405816651e-02
2.457127646631944459e+06 1.048623627646465106e+00 1.636495011400233845e-02
2.457127646747685038e+06 9.313269790289304684e-01 1.439376338684981473e-02
2.457127646863426082e+06 9.731464085629234484e-01 1.514600181895577741e-02
2.457127646979166660e+06 1.005495714052492717e+00 1.539806511053529864e-02
2.457127647094907239e+06 1.020025827631395599e+00 1.580515869598399237e-02
2.457127647210648283e+06 1.002217489871626066e+00 1.562461675118308538e-02
2.457127647326388862e+06 9.754447122558350669e-01 1.475857883038836534e-02
2.457127647442129441e+06 9.922550707612651788e-01 1.493299103164169930e-02
2.457127647557870485e+06 1.027140202463859620e+00 1.556300115915455577e-02
2.457127647673611064e+06 1.097013765004646757e+00 1.650334215498043891e-02
2.457127647789351642e+06 1.006741159282840803e+00 1.543074177251260032e-02
2.457127647905092686e+06 9.800670113466024569e-01 1.487754409281156348e-02
2.457127648020833265e+06 1.053002686627878992e+00 1.580928511864779229e-02
2.457127648136573844e+06 1.095991874443882574e+00 1.725795809949778881e-02
2.457127648252314888e+06 9.865928780071988591e-01 1.503769205825502067e-02
2.457127648368055467e+06 1.017976687835794314e+00 1.550873410927784343e-02
2.457127648483796511e+06 1.049561442728261573e+00 1.580737038895609070e-02
2.457127648599537089e+06 1.023830141277245032e+00 1.512303050112759686e-02
2.457127648715277668e+06 1.016535107448319764e+00 1.521120781527091938e-02
2.457127648831018712e+06 1.017343515398489107e+00 1.516781122149256193e-02
2.457127648946759291e+06 9.743684898892486235e-01 1.472458911751542247e-02
2.457127649062499870e+06 9.892033794511860822e-01 1.516264832555685137e-02
2.457127649178240914e+06 9.831442447200533508e-01 1.533942187928032455e-02
2.457127649293981493e+06 1.014779519545618403e+00 1.547774289332282116e-02
2.457127649409722071e+06 9.395737053513474324e-01 1.453645780317495279e-02
2.457127649525463115e+06 9.778550834402095493e-01 1.526189139978324782e-02
2.457127649641203694e+06 9.347166179284257526e-01 1.419095860931249807e-02
2.457127649756944273e+06 1.053588824395224055e+00 1.649340927623395639e-02
2.457127649872685317e+06 9.469850393555859780e-01 1.482712815669405201e-02
2.457127649988425896e+06 9.713299470558285353e-01 1.498015938775319397e-02
2.457127650104166474e+06 9.393070939705725486e-01 1.445726307192042245e-02
2.457127650219907518e+06 9.931655844832398827e-01 1.574653865661551286e-02
2.457127650335648097e+06 9.067543058938781764e-01 1.454646052231884507e-02
2.457127650451388676e+06 1.070106967529891762e+00 1.650772498788270759e-02
2.457127650567129720e+06 9.579445262727016575e-01 1.468666153999971351e-02
2.457127650682870299e+06 1.061844638724688039e+00 1.606757133774287458e-02
2.457127650798611343e+06 9.878103916787497329e-01 1.512392495913128000e-02
2.457127650914351922e+06 9.725970700218654619e-01 1.515441667880624947e-02
2.457127651030092500e+06 9.742259058224164159e-01 1.505552008208764156e-02
2.457127651145833544e+06 1.030571440129005367e+00 1.567672694525308955e-02
2.457127651261574123e+06 1.119147359944103526e+00 1.713311029571048735e-02
2.457127651377314702e+06 9.600845856984441262e-01 1.506729042159701826e-02
2.457127651493055746e+06 1.108427699825992097e+00 1.660787808898165144e-02
2.457127651608796325e+06 9.873336764983047242e-01 1.577018077734082882e-02
2.457127651724536903e+06 1.063260214329873499e+00 1.583567401535543318e-02
2.457127651840277947e+06 1.036341108260643518e+00 1.596657343504115714e-02
2.457127651956018526e+06 1.052919077946373516e+00 1.576924046722753478e-02
2.457127652071759105e+06 1.053756337804716114e+00 1.560103818496810790e-02
2.457127652187500149e+06 9.775805861294238897e-01 1.516065416511492257e-02
2.457127652303240728e+06 9.997970520294071628e-01 1.511043089953461455e-02
2.457127652418981306e+06 9.436684583462284781e-01 1.452667261584152450e-02
2.457127652534722351e+06 1.078384985359003956e+00 1.642518736086676437e-02
2.457127652650462929e+06 1.066875533193345493e+00 1.632142116727994599e-02
2.457127652766203508e+06 1.014462156700777662e+00 1.497200763562678283e-02
2.457127652881944552e+06 9.996001062645694102e-01 1.484366014574999525e-02
2.457127652997685131e+06 1.000923862290785005e+00 1.498974076374399132e-02
2.457127653113425709e+06 1.002375041733854610e+00 1.558681608661428679e-02
2.457127653229166754e+06 9.810090233118983205e-01 1.461681832433948079e-02
2.457127653344907332e+06 9.212264523883260114e-01 1.383459137694860799e-02
2.457127653460648376e+06 9.404016137898200123e-01 1.446225791287538386e-02
2.457127653576388955e+06 9.364429944150969298e-01 1.427033176548096922e-02
2.457127653692129534e+06 9.512395189196453105e-01 1.460598810996385603e-02
2.457127653807870578e+06 9.832884020409340398e-01 1.455096175200407300e-02
2.457127653923611157e+06 1.053559742859124571e+00 1.606991569246337542e-02
2.457127654039351735e+06 9.459209672194399676e-01 1.455313440443407012e-02
2.457127654155092780e+06 1.015953409205700098e+00 1.553255750006799982e-02
2.457127654270833358e+06 9.527363696713455621e-01 1.452554299557828714e-02
2.457127654386573937e+06 9.970019547366774093e-01 1.512138386381705300e-02
2.457127654502314981e+06 1.053136598685378456e+00 1.599658967920272040e-02
2.457127654618055560e+06 1.085833544077894786e+00 1.656715839448310093e-02
2.457127654733796138e+06 9.096346945637788783e-01 1.394526574273937704e-02
2.457127654849537183e+06 9.236755994574215034e-01 1.399946940548896061e-02
2.457127654965277761e+06 1.014216134043462558e+00 1.563093135028685923e-02
2.457127655081018340e+06 1.067540742950234378e+00 1.593968197781522877e-02
2.457127655196759384e+06 1.045786370283358524e+00 1.564428906182292744e-02
2.457127655312499963e+06 9.977263307792859637e-01 1.500153483773164487e-02
2.457127655428240541e+06 9.911390551923014991e-01 1.492653223740428477e-02
2.457127655543981586e+06 9.852989961184460688e-01 1.479908729662758604e-02
2.457127655659722164e+06 9.942431665862128121e-01 1.477062878983454071e-02
2.457127655775462743e+06 9.272914848997348969e-01 1.383744322858280508e-02
2.457127655891203787e+06 9.368960406418040954e-01 1.427976622079704834e-02
2.457127656006944366e+06 1.018253813281548625e+00 1.515273596764971607e-02
2.457127656122685410e+06 1.059736071222331155e+00 1.570507239203668137e-02
2.457127656238425989e+06 1.091192859313782737e+00 1.611572998955874275e-02
2.457127656354166567e+06 1.007953179388866527e+00 1.498400235850065078e-02
2.457127656469907612e+06 1.030210827458063250e+00 1.541737336382307741e-02
2.457127656585648190e+06 9.345552348391753528e-01 1.372594873186241092e-02
2.457127656701388769e+06 9.896291388638871478e-01 1.478806228623164194e-02
2.457127656817129813e+06 1.044164612148170468e+00 1.606159429160832972e-02
2.457127656932870392e+06 9.529282768905114054e-01 1.428419167066353503e-02
2.457127657048610970e+06 1.067769066090118013e+00 1.594940117082117859e-02
2.457127657164352015e+06 1.040329227913447951e+00 1.525429641668734661e-02
2.457127657280092593e+06 1.092668809137855579e+00 1.613132952024917341e-02
2.457127657395833172e+06 1.018517220068865914e+00 1.512157564288286841e-02
2.457127657511574216e+06 1.030415595261284123e+00 1.550359906694294930e-02
2.457127657627314795e+06 9.501786357019725848e-01 1.435984402655173311e-02
2.457127657743055373e+06 1.021209726991351596e+00 1.554996562632476181e-02
2.457127657858796418e+06 1.044821706514547310e+00 1.545151093506210924e-02
2.457127657974536996e+06 1.024918615686552625e+00 1.531108843118906930e-02
