# JD Flux Error
2.457137826134259347e+06 1.015812951250451457e+00 1.140631008190110506e-02
2.457137826365740970e+06 1.040169601023855916e+00 1.130198874845014974e-02
2.457137826597222127e+06 9.942249579713464680e-01 1.124399398773612800e-02
2.457137826828703750e+06 9.893959885531680154e-01 1.107426575400936516e-02
2.457137827060185373e+06 1.026748166428044673e+00 1.123143242673837333e-02
2.457137827291666530e+06 1.008604062058300110e+00 1.120274564593670176e-02
2.457137827523148153e+06 9.876729413321471140e-01 1.103020886973129534e-02
2.457137827754629776e+06 1.009708068298585504e+00 1.139499239754046371e-02
2.457137827986110933e+06 9.956067835782695941e-01 1.113503587137172797e-02
2.457137828217592556e+06 1.004109043490001074e+00 1.117012428359928818e-02
2.457137828449074179e+06 1.029162336185327264e+00 1.185032126546688679e-02
2.457137828680555336e+06 9.784819884757411934e-01 1.119973279825474573e-02
2.457137828912036959e+06 9.936870593049237366e-01 1.127582449881527060e-02
2.457137829143518582e+06 9.912324078042302755e-01 1.168965859210287575e-02
2.457137829375000205e+06 1.006467683688828441e+00 1.148239184690200490e-02
2.457137829606481362e+06 9.998947084730368529e-01 1.122712415936513372e-02
2.457137829837962985e+06 9.944931886724406311e-01 1.122234156082092121e-02
2.457137830069444608e+06 1.002428700746794021e+00 1.159349817629233212e-02
2.457137830300925765e+06 9.731544531476254978e-01 1.106780313921265982e-02
2.457137830532407388e+06 1.017359385055665921e+00 1.176826253177375679e-02
2.457137830763889011e+06 1.045989595673350703e+00 1.195103479025190832e-02
2.457137830995370168e+06 9.398488450479712819e-01 1.109921877102492196e-02
2.457137831226851791e+06 9.912484426095437007e-01 1.159688930218380487e-02
2.457137831458333414e+06 9.662401761707901660e-01 1.129147445663723770e-02
2.457137831689815037e+06 1.038913516644030421e+00 1.163064576710270796e-02
2.457137831921296194e+06 1.011707355946210196e+00 1.100126444436851265e-02
2.457137832152777817e+06 1.028869078111349200e+00 1.184721072890987555e-02
2.457137832384259440e+06 1.048470316607676756e+00 1.186062711406465041e-02
2.457137832615740597e+06 9.632608246789134965e-01 1.121024030535872941e-02
2.457137832847222220e+06 9.437876215891974896e-01 1.100355250604358008e-02
2.457137833078703843e+06 1.025010317830112205e+00 1.145110047733635325e-02
2.457137833310185000e+06 1.005044130587751994e+00 1.105329424599910300e-02
2.457137833541666623e+06 9.991581432850359379e-01 1.116218661692150449e-02
2.457137833773148246e+06 9.814263717431135348e-01 1.147798773339959479e-02
2.457137834004629403e+06 1.025572072885042596e+00 1.157532571907648501e-02
2.457137834236111026e+06 9.826898147440370490e-01 1.130524133058954071e-02
2.457137834467592649e+06 1.025374106135774843e+00 1.193227401283880086e-02
2.457137834699074272e+06 1.036103761834537007e+00 1.133480140466467702e-02
2.457137834930555429e+06 1.026103767247109610e+00 1.108376123304928920e-02
2.457137835162037052e+06 1.008417448442903597e+00 1.103776605574464942e-02
2.457137835393518675e+06 1.012775733113673082e+00 1.138850171854992321e-02
2.457137835624999832e+06 1.042885135669804786e+00 1.114090534286920307e-02
2.457137835856481455e+06 9.855386476413878771e-01 1.095049786689526045e-02
2.457137836087963078e+06 9.888204636599489117e-01 1.077583961834531825e-02
2.457137836319444235e+06 1.007947785234887705e+00 1.117351045442834673e-02
2.457137836550925858e+06 1.022374679787784402e+00 1.104657114069656186e-02
2.457137836782407481e+06 9.580965985073544022e-01 1.075695024994947555e-02
2.457137837013889104e+06 9.878379016452224493e-01 1.092511918782499737e-02
2.457137837245370261e+06 1.004146405421792787e+00 1.114813758421959872e-02
2.457137837476851884e+06 1.035918542300888534e+00 1.102321366795568428e-02
2.457137837708333507e+06 9.706871650105703964e-01 1.091823148276341478e-02
2.457137837939814664e+06 1.004628237542761537e+00 1.129974830426395439e-02
2.457137838171296287e+06 1.023635039022598114e+00 1.123268293904336294e-02
2.457137838402777910e+06 9.804039000828661532e-01 1.099271382003678271e-02
2.457137838634259067e+06 9.948194844675349868e-01 1.079105995454189039e-02
2.457137838865740690e+06 1.012596365174677215e+00 1.075524546086046793e-02
2.457137839097222313e+06 1.019366242011660484e+00 1.086672151628147523e-02
2.457137839328703936e+06 1.034042849374712247e+00 1.093260734209253009e-02
2.457137839560185093e+06 1.002436403611448812e+00 1.091825626968643236e-02
2.457137839791666716e+06 1.011698404490697367e+00 1.084431306748015640e-02
2.457137840023148339e+06 1.023922709972589828e+00 1.088517723837146775e-02
2.457137840254629496e+06 9.964540433521565932e-01 1.083783636414337691e-02
2.457137840486111119e+06 1.023267266587936541e+00 1.102638089078312837e-02
2.457137840717592742e+06 9.904933170836618395e-01 1.102035158173820389e-02
2.457137840949073900e+06 9.798467862937637607e-01 1.074269245481064908e-02
2.457137841180555522e+06 1.035093878084423880e+00 1.110830017205427685e-02
2.457137841412037145e+06 9.950660562777653428e-01 1.079668238469543885e-02
2.457137841643518303e+06 9.797370791412239877e-01 1.069627690996050387e-02
2.457137841874999925e+06 9.987311327794091698e-01 1.054608140582977312e-02
2.457137842106481548e+06 1.017079574942078679e+00 1.074269603424217109e-02
2.457137842337963171e+06 1.005782659438428706e+00 1.057967486881191896e-02
2.457137842569444329e+06 1.018519813652799311e+00 1.070244738477869363e-02
2.457137842800925951e+06 1.010307318138520927e+00 1.067390639478274852e-02
2.457137843032407574e+06 9.787597440566364604e-01 1.069367772607461228e-02
2.457137843263888732e+06 1.011940024362895096e+00 1.086302154069606826e-02
2.457137843495370355e+06 9.606184181900988550e-01 1.054149747062305999e-02
2.457137843726851977e+06 9.962125738654928897e-01 1.087621138354071156e-02
2.457137843958333135e+06 9.878282119524056659e-01 1.066594463395863224e-02
2.457137844189814758e+06 9.783321515893690368e-01 1.059672920515948233e-02
2.457137844421296380e+06 1.006538616069388770e+00 1.104337472955892879e-02
2.457137844652778003e+06 9.805502274567087229e-01 1.085882477828931103e-02
2.457137844884259161e+06 1.012948266625109506e+00 1.085140825788014941e-02
2.457137845115740784e+06 1.019845949363838988e+00 1.082922408337410464e-02
2.457137845347222406e+06 9.929166517234225831e-01 1.066044821433869555e-02
2.457137845578703564e+06 1.024382482090811175e+00 1.082217982686469078e-02
2.457137845810185187e+06 9.931365163314335165e-01 1.082782752031501670e-02
2.457137846041666809e+06 1.018632366531245781e+00 1.094527952092708492e-02
2.457137846273147967e+06 9.941757043000112315e-01 1.062062602925201334e-02
2.457137846504629590e+06 1.012419476062365487e+00 1.073265377309367413e-02
2.457137846736111213e+06 9.918242141950598389e-01 1.060465952700002414e-02
2.457137846967592370e+06 1.025017666682844553e+00 1.069019784622478146e-02
2.457137847199073993e+06 1.004153347893058656e+00 1.062500438534286218e-02
2.457137847430555616e+06 1.033537665370518166e+00 1.040041665430201968e-02
2.457137847662037238e+06 9.591537862158305838e-01 1.021483481380123376e-02
2.457137847893518396e+06 1.015241891227769866e+00 1.050608885504681136e-02
2.457137848125000019e+06 1.021567044456245910e+00 1.055697888682621474e-02
2.457137848356481642e+06 1.014041044276254633e+00 1.069004572392190898e-02
2.457137848587962799e+06 1.020439628836341095e+00 1.051198320807480990e-02
2.457137848819444422e+06 9.880407570479357027e-01 1.031817577533954838e-02
2.457137849050926045e+06 1.008138409552115533e+00 1.053584716675446710e-02
2.457137849282407202e+06 1.039532615928250303e+00 1.085318123549713562e-02
2.457137849513888825e+06 9.872263776071313890e-01 1.051666731085512500e-02
2.457137849745370448e+06 9.921761237732077410e-01 1.061169157400941067e-02
2.457137849976852071e+06 1.001546064561417371e+00 1.052289703844825827e-02
2.457137850208333228e+06 9.927303362247883456e-01 1.054309625553800055e-02
2.457137850439814851e+06 9.598799709973675487e-01 1.021380688585346759e-02
2.457137850671296474e+06 9.925019131339432032e-01 1.051117352044308832e-02
2.457137850902777631e+06 9.927147784344502179e-01 1.043871239071771442e-02
2.457137851134259254e+06 9.865460390063783835e-01 1.057492905872735138e-02
2.457137851365740877e+06 1.001984552988728350e+00 1.047694379427967747e-02
2.457137851597222034e+06 9.888624280010755996e-01 1.057786679678403979e-02
2.457137851828703657e+06 1.013817551345231660e+00 1.061553491859337089e-02
2.457137852060185280e+06 9.726398894991979960e-01 1.056379630764025905e-02
2.457137852291666437e+06 9.993128947096309167e-01 1.071468504511381703e-02
2.457137852523148060e+06 1.028126452173865557e+00 1.073827250327252791e-02
2.457137852754629683e+06 1.003755593373940602e+00 1.079890041151186988e-02
2.457137852986111306e+06 1.007182689982697887e+00 1.055681961971797339e-02
2.457137853217592463e+06 1.006047072126424746e+00 1.060256483276403490e-02
2.457137853449074086e+06 1.006531549327417174e+00 1.053340290213033818e-02
2.457137853680555709e+06 1.018132502591956312e+00 1.064083083712944779e-02
2.457137853912036866e+06 1.010186090384230795e+00 1.063762198408078723e-02
2.457137854143518489e+06 9.773104790109006235e-01 1.031532484898123672e-02
2.457137854375000112e+06 1.028260638941874028e+00 1.055943165201703171e-02
2.457137854606481269e+06 9.853703268749105515e-01 1.047060500376547319e-02
2.457137854837962892e+06 9.969275426448116484e-01 1.044794848841614984e-02
2.457137855069444515e+06 9.753182070033561413e-01 1.046941914154495695e-02
2.457137855300926138e+06 1.013307463318000590e+00 1.077613593145730631e-02
2.457137855532407295e+06 9.903928627325404577e-01 1.074715566787587569e-02
2.457137855763888918e+06 1.003999356223675310e+00 1.068420247301249230e-02
2.457137855995370541e+06 1.001205442065428164e+00 1.060579333843250302e-02
2.457137856226851698e+06 9.964388327273112633e-01 1.050543040025062221e-02
2.457137856458333321e+06 9.955395258863221075e-01 1.069482562951230842e-02
2.457137856689814944e+06 9.689970620069014995e-01 1.048848050367010877e-02
2.457137856921296101e+06 1.034924830033852716e+00 1.074450024634740139e-02
2.457137857152777724e+06 9.878106507577459894e-01 1.060811337830216625e-02
2.457137857384259347e+06 1.005931015453808364e+00 1.066642337555576484e-02
2.457137857615740970e+06 9.948251543992335799e-01 1.057383922887978125e-02
2.457137857847222127e+06 9.902202385785849881e-01 1.075504397427925335e-02
2.457137858078703750e+06 1.011407949776350845e+00 1.091332686638190295e-02
2.457137858310185373e+06 1.004056747323301524e+00 1.084011237694371826e-02
2.457137858541666530e+06 1.014105759024232833e+00 1.064222554158669384e-02
2.457137858773148153e+06 9.823636909057283928e-01 1.057591724310119954e-02
2.457137859004629776e+06 9.974675078797886618e-01 1.068873894433976929e-02
2.457137859236110933e+06 9.872167906478569455e-01 1.040938564313370444e-02
2.457137859467592556e+06 1.006561667716201258e+00 1.043985861644525920e-02
2.457137859699074179e+06 1.013691094161999651e+00 1.056509431102989685e-02
2.457137859930555336e+06 9.556251065371320630e-01 1.027916506486946206e-02
2.457137860162036959e+06 9.720680315309855324e-01 1.020761758778967153e-02
2.457137860393518582e+06 1.025667083866210527e+00 1.069992055401093947e-02
2.457137860625000205e+06 9.912504855794996850e-01 1.035549837544503041e-02
2.457137860856481362e+06 9.667735875363659970e-01 1.039931452859147593e-02
2.457137861087962985e+06 1.024890428052011471e+00 1.060493887176151319e-02
2.457137861319444608e+06 1.028213857467874526e+00 1.064635811116787685e-02
2.457137861550925765e+06 9.878453375264895087e-01 1.045989880515787313e-02
2.457137861782407388e+06 9.856999399657874195e-01 1.043454402557020440e-02
2.457137862013889011e+06 1.002455242087771925e+00 1.055908050555581790e-02
2.457137862245370168e+06 1.016634152242158917e+00 1.064963655600104780e-02
2.457137862476851791e+06 1.019955455070049588e+00 1.081136175305828957e-02
2.457137862708333414e+06 9.842942489698617292e-01 1.072481717587493895e-02
2.457137862939815037e+06 9.732656866843893972e-01 1.072118302105070503e-02
