#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-29T21:25:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5400efa211c9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=7	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-source=J/AJ/135/1225/localWD
#

#RESOURCE=yCat_51351225
#Name: J/AJ/135/1225
#Title: Parameters of the local white dwarfs (Holberg+, 2008)
#Table	J_AJ_135_1225_localWD:
#Name: J/AJ/135/1225/localWD
#Title: Local sample of white dwarfs: physical parameters and distances {\em(tables 1, 2 and 3 of the paper)}
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	WD	(a10)	WD number (HHMM+DDM.N, B1950)	[ucd=meta.id;meta.main]
#Column	OName	(a15)	Other name	[ucd=meta.id]
#Column	SpType	(a7)	Spectral type	[ucd=src.spType]
#Column	Vmag	(F6.3)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	Bin	(A3)	Binarity (2)	[ucd=meta.code.multip]
#Column	Comp	(A2)	Composition (He or H)	[ucd=meta.note]
#Column	Teff	(I5)	? Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	logg	(F6.3)	? Surface gravity	[ucd=phys.gravity]
#Column	Mass	(F6.3)	? Mass	[ucd=phys.mass]
#Column	r.tr	(F5.2)	? Trigonometric distance	[ucd=pos.distance;pos.parallax.trig;pos.heliocentric]
#Column	r.ph	(F5.2)	? Photometric distance	[ucd=pos.distance]
#Column	r	(F5.2)	? Final adopted distance	[ucd=pos.distance;phys.atmol.final;pos.heliocentric]
#Column	n_r	(A1)	[a] Weighted mean of trigonometric and photometric distance	[ucd=meta.note]
#Column	SimbadName	(a11)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	WD	OName	SpType	Vmag	Bin	Comp	Teff	logg	Mass	r.tr	r.ph	r	n_r	SimbadName	_RA	_DE
deg	deg	 	 	 	mag	 	 	K	[cm/s2]	Msun	pc	pc	pc	 	 	deg	deg
---------	---------	----------	---------------	-------	------	---	--	-----	------	------	-----	-----	-----	-	-----------	---------	---------
000.66700	-34.22742	0000-345  	LHS 1008       	DC8.1  	14.960	   	He	 6240	 8.310	 0.770	13.21	12.08	12.65	a	WD 0000-345	000.66700	-34.22742
002.84362	+42.67811	0008+423  	NLTT 529       	DA6.8  	15.230	   	H 	 7380	 8.380	 0.840	     	17.88	17.88	 	WD 0008+423	002.84362	+42.67811
003.06167	+50.42261	0009+501  	LHS 1038       	DAH7.6 	14.360	   	H 	 6610	 8.360	 0.820	11.04	 9.93	11.04	 	WD 0009+501	003.06167	+50.42261
003.55330	-13.18364	0011-134  	LHS 1044       	DCH8.4 	15.870	   	H 	 6010	 8.200	 0.720	19.49	18.46	19.49	 	WD 0011-134	003.55330	-13.18364
010.35851	-22.35058	0038-226  	LHS 1126       	DQ9.3  	14.520	   	He	 5400	 7.910	 0.630	 9.88	 9.37	 9.88	 	WD 0038-226	010.35851	-22.35058
012.29125	+05.38861	0046+051  	V Ma 2         	DZ8.1  	12.390	   	He	 6220	 8.190	 0.690	 4.32	 4.06	 4.32	 	WD 0046+051	012.29125	+05.38861
017.68625	+27.97111	0108+277  	NLTT 3915      	DAZ9.6 	16.150	   	H 	 5270	 8.360	 0.820	     	13.79	13.79	 	WD 0108+277	017.68625	+27.97111
019.50037	+16.17261	0115+159  	LHS 1227       	DQ5.6  	13.840	   	He	 9050	 8.190	 0.690	15.41	15.57	15.41	 	WD 0115+159	019.50037	+16.17261
021.01666	-42.67747	0121-429  	LHS 1243       	DAH7.9 	14.830	dd?	H 	 6369	      	 0.590	17.67	     	17.67	 	WD 0121-429	021.01666	-42.67747
024.49725	-04.99564	0135-052  	LHS 1270       	DA6.9  	12.840	dd 	H 	 7280	 7.850	 0.520	12.35	 8.35	12.35	 	WD 0135-052	024.49725	-04.99564
025.75432	-67.30816	0141-675  	LHS 145        	DA7.8  	13.820	   	H 	 6460	 8.040	 0.620	     	 9.70	 9.70	 	WD 0141-675	025.75432	-67.30816
028.01233	+47.00185	0148+467  	GD 279         	DA3.8  	12.440	b  	H 	13430	 7.930	 0.580	15.85	16.27	16.06	a	WD 0148+467	028.01233	+47.00185
027.96272	+64.43163	0148+641  	G244-36        	DA5.6  	13.990	b  	H 	 8938	 8.354	 0.820	17.13	17.13	     	 	WD 0148+641	027.96272	+64.43163
032.83642	+39.92281	0208+396  	LHS 151        	DAZ6.9 	14.526	   	H 	 7340	 8.100	 0.660	16.72	15.54	16.13	a	WD 0208+396	032.83642	+39.92281
