#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-29T21:46:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5400f3a61a6e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/167/40&tab:{J/ApJS/167/40/catalog}&key:source=J/ApJS/167/40/catalog&HTTPPRM:&&-ref=VIZ5400f3a61a6e&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/167/40/catalog
#-order=I
#-out=S
#S=wd
#-out=SpClass
#-out=WD
#-out=SDSS
#-out=pm
#-out=pmPA
#-out=umag
#-out=gmag
#-out=rmag
#-out=imag
#-out=zmag
#-out=Teff
#Sloan=SDSS
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21670040
#Name: J/ApJS/167/40
#Title: SDSS4 confirmed white dwarfs catalog (Eisenstein+, 2006)
#Table	J_ApJS_167_40_catalog:
#Name: J/ApJS/167/40/catalog
#Title: SDSS DR4 white dwarfs and hot subdwarfs {\em(tables 1 and 1c of catalog)}
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	S	(A2)	{\bf wd} for white dwarfs, or {\bf sd} for subdwarfs	[ucd=src.class]
#Column	SpClass	(a12)	Spectral Classification	[ucd=spect.index]
#Column	WD	(a10)	McCook & Sion (1999, see Cat. III/235) WD catalog ID (as of 2005 August)	[ucd=meta.id]
#Column	SDSS	(a19)	The IAU name, JHHMMSS.ss+DDMMSS.s \linkRole{SDSS-DR4 photometric data} (3)	[ucd=meta.id;meta.main]
#Column	pm	(F7.1)	? Proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	? Proper-motion position angle, where 0 = north, 90 = east, etc	[ucd=pos.pm;pos.posAng]
#Column	umag	(F6.3)	? SDSS u-band PSF as observed magnitude	[ucd=phot.mag;em.opt.U]
#Column	gmag	(F6.3)	? SDSS g-band PSF as observed magnitude	[ucd=phot.mag;em.opt.B]
#Column	rmag	(F6.3)	? SDSS r-band PSF as observed magnitude	[ucd=phot.mag;em.opt.R]
#Column	imag	(F6.3)	? SDSS i-band PSF as observed magnitude	[ucd=phot.mag;em.opt.I]
#Column	zmag	(F6.3)	? SDSS z-band PSF as observed magnitude	[ucd=phot.mag;em.opt.I]
#Column	Teff	(I6)	Autofit temperature	[ucd=phys.temperature]
#Column	RAJ2000	(F10.6)	Decimal degree right ascension (J2000) (4)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Decimal degree declination (J2000) (4)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	S	SpClass	WD	SDSS	pm	pmPA	umag	gmag	rmag	imag	zmag	Teff	RAJ2000	DEJ2000
deg	deg	 	 	 	 	mas/yr	deg	mag	mag	mag	mag	mag	K	deg	deg
----------	----------	--	------------	----------	-------------------	-------	-----	------	------	------	------	------	------	----------	----------
000.028147	-00.781616	wd	DA_auto     	          	J000006.75-004653.8	    1.6	263.8	19.186	18.835	18.884	19.052	19.407	 10881	000.028147	-00.781616
000.029836	-09.727753	wd	DA          	2357-100  	J000007.16-094339.9	       	     	19.421	19.565	20.000	20.277	21.152	 28669	000.029836	-09.727753
000.048182	-08.835651	wd	DQ          	2357-091  	J000011.56-085008.3	  104.8	 88.5	19.413	19.091	19.052	19.120	19.339	 10106	000.048182	-08.835651
000.051346	-00.845157	wd	DA_auto     	          	J000012.32-005042.5	    5.6	162.8	20.423	20.041	19.925	20.030	20.012	  8397	000.051346	-00.845157
000.093902	-10.861710	wd	DA          	2357-111  	J000022.53-105142.1	   51.8	117.2	19.285	18.891	18.810	18.886	18.958	  8793	000.093902	-10.861710
000.095323	-00.109921	wd	DA          	          	J000022.87-000635.7	    6.4	318.7	18.213	18.196	18.524	18.880	19.116	 21771	000.095323	-00.109921
000.141971	-01.138883	wd	DA_auto     	          	J000034.07-010819.9	   29.0	119.6	18.284	17.849	18.042	18.240	18.479	 12702	000.141971	-01.138883
000.218520	-00.436291	wd	DQ          	          	J000052.44-002610.6	   56.6	182.9	19.146	18.728	18.686	18.667	18.812	 10088	000.218520	-00.436291
000.226600	-09.135448	wd	DC          	2358-094  	J000054.38-090807.6	   55.5	 18.9	19.257	18.997	18.954	19.031	19.108	 10110	000.226600	-09.135448
000.266915	+00.065503	wd	DA_auto     	          	J000104.05+000355.8	   11.3	160.4	19.282	18.844	19.069	19.296	19.502	 13288	000.266915	+00.065503
000.347011	-11.198875	wd	DC          	2358-114  	J000123.28-111155.9	  146.7	141.8	19.096	18.521	18.317	18.275	18.301	  6343	000.347011	-11.198875
000.364507	+00.633086	wd	DA_auto     	          	J000127.48+003759.1	    1.5	 64.5	19.048	18.847	19.154	19.476	19.746	 17610	000.364507	+00.633086
000.523203	+00.344921	wd	DB          	          	J000205.56+002041.7	   23.6	180.8	19.944	20.124	20.405	20.579	20.957	 18694	000.523203	+00.344921
000.691639	-01.142187	wd	DAZ         	          	J000245.99-010831.8	   12.7	176.3	20.094	19.793	20.039	20.257	20.459	 15108	000.691639	-01.142187
000.719906	+13.892236	wd	DA_auto     	          	J000252.77+135332.0	   52.0	 40.2	18.969	18.579	18.556	18.648	18.654	  8767	000.719906	+13.892236
000.784700	-09.696408	wd	DA          	0000-099  	J000308.32-094147.0	   43.0	 31.6	19.346	18.855	18.829	18.916	19.000	  8802	000.784700	-09.696408
000.990141	-00.827536	wd	DA          	          	J000357.63-004939.1	   39.4	125.0	18.940	18.485	18.536	18.616	18.805	  9769	000.990141	-00.827536
000.990141	-00.827536	wd	DA          	          	J000357.63-004939.1	   39.4	125.0	18.940	18.485	18.536	18.616	18.805	  9767	000.990141	-00.827536
001.120784	+00.967213	wd	DA_auto     	          	J000428.98+005801.9	   40.5	316.0	19.308	18.967	19.190	19.448	19.642	 15489	001.120784	+00.967213
001.173974	+15.478089	wd	DA_auto     	          	J000441.75+152841.1	    7.8	162.3	18.948	18.542	18.534	18.587	18.677	  8799	001.173974	+15.478089
001.341735	-09.541884	wd	DA          	0002-098  	J000522.01-093230.7	   23.6	117.2	20.294	20.256	20.441	20.873	21.091	 19340	001.341735	-09.541884
001.443362	-09.665224	wd	DA          	0003-099  	J000546.40-093954.8	   73.4	104.8	19.410	18.938	18.923	19.008	19.191	  9438	001.443362	-09.665224
001.482943	-10.037089	wd	DQhot_H:    	0003-103  	J000555.90-100213.5	   85.0	 75.3	17.310	17.685	18.100	18.460	18.757	 84140	001.482943	-10.037089
001.488527	+00.309239	wd	DZ          	0003+000  	J000557.24+001833.2	       	     	19.061	18.737	18.717	18.815	18.906	 10112	001.488527	+00.309239
001.594222	+01.166313	wd	DA          	0003+008  	J000622.61+010958.7	    2.5	108.9	18.350	18.654	19.146	19.521	19.635	 41516	001.594222	+01.166313
001.627345	+00.389989	wd	DA          	0003+001  	J000630.56+002323.9	   25.7	231.7	18.722	18.667	18.941	19.204	19.338	 22028	001.627345	+00.389989
001.652583	+16.043816	wd	DA_auto     	          	J000636.61+160237.7	   69.3	 91.9	19.457	18.998	19.051	19.084	19.138	  9564	001.652583	+16.043816
001.685668	-11.221349	wd	DA          	0004-114  	J000644.56-111316.8	   10.0	112.7	19.891	19.606	19.918	20.101	20.050	 15623	001.685668	-11.221349
001.781765	+01.241754	wd	DA_auto     	          	J000707.62+011430.3	    9.4	328.5	19.531	19.377	19.622	19.864	20.090	 17622	001.781765	+01.241754
001.820187	-10.319006	wd	DA          	0004-105  	J000716.84-101908.4	   16.3	161.7	19.057	18.904	19.190	19.471	19.647	 18855	001.820187	-10.319006
001.834206	-00.390400	wd	DB          	          	J000720.20-002325.4	   29.5	271.3	18.135	18.225	18.510	18.792	19.081	 19580	001.834206	-00.390400
001.879879	-09.980392	wd	DB          	0004-102  	J000731.17-095849.4	    4.1	127.7	19.503	19.590	19.938	20.159	20.194	 20496	001.879879	-09.980392
001.888114	-09.355847	wd	DA          	0004-096  	J000733.14-092121.0	   17.4	 88.8	19.497	19.763	20.116	20.564	20.341	 29787	001.888114	-09.355847
001.904924	-09.108160	wd	DA          	0005-093  	J000737.18-090629.3	   35.8	134.2	18.227	18.139	18.507	18.764	19.066	 19120	001.904924	-09.108160
001.908491	+00.667587	wd	DA_auto     	          	J000738.03+004003.3	   37.1	131.7	18.670	18.330	18.362	18.476	18.669	 10286	001.908491	+00.667587
002.031419	-10.568212	wd	DQ          	0005-108  	J000807.54-103405.5	       	     	19.308	18.969	18.931	19.019	19.021	 10102	002.031419	-10.568212
