#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-29T22:27:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5400fc0536c9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:III/235B&tab:{III/235B/catalog}&key:source=III/235B/catalog&HTTPPRM:&&-ref=VIZ5400fc0536c9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=III/235B/catalog
#-order=I
#-out=WD
#-out=RAB1950
#-out=DEB1950
#-out=SpType
#-out=bNote
#-out=Names
#-out=Vmag
#-sort=Vmag
#Vmag=<14
#-out=B-V
#-out=U-B
#-out=Teff
#-out=pm
#-out=pmPA
#WDcat=WDcat
#

#RESOURCE=yCat_3235
#Name: III/235B
#Title: Spectroscopically Identified White Dwarfs (McCook+, 2008)
#Coosys	B1950_1950.000:	eq_FK4 B1950
#Table	III_235B_catalog:
#Name: III/235B/catalog
#Title: Data for the White Dwarfs
#Column	_RAJ2000	(F7.3)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F7.3)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	WD	(a10)	White Dwarf (WD) number (1)	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	?Hours RA, Equinox=B1950, Epoch=1950.0 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	?Degrees Dec, Equinox=B1950, Epoch=1950.0 (2)	[ucd=pos.eq.dec;meta.main]
#Column	SpType	(a9)	Spectral type (definitions in the paper, or in file "\begin{tex}\vFile{III/235B/./preface.tex}{preface.tex}\end{tex}").	[ucd=src.spType]
#Column	bNote	(A1)	[*b?] 'b' if white dwarf is member of binary, '*' indicates a note in file "\begin{tex}\vFile{III/235B/./notes.dat}{notes.dat}\end{tex}"	[ucd=meta.code]
#Column	Names	(a26)	Other names for this star, see table Names	[ucd=meta.id]
#Column	Vmag	(F5.2)	?V or other magnitude (see n_Vmag)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	?B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F6.3)	?U-B color in the UBV system	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	Teff	(I3)	?Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	pm	(F7.4)	?Total proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	?Position angle of proper motion vector	[ucd=pos.pm;pos.posAng]
_RAJ2000	_DEJ2000	WD	RAB1950	DEB1950	SpType	bNote	Names	Vmag	B-V	U-B	Teff	pm	pmPA
deg	deg	 	"h:m:s"	"d:m:s"	 	 	 	mag	mag	mag	kK	arcsec/yr	deg
-------	-------	----------	--------	--------	---------	-	--------------------------	-----	------	------	---	-------	-----
101.2887	-16.7184	0642-166  	06 42 57	-16 38.9	DA2      	b	064508-164246EG049        	 8.30	-0.120	-1.030	   	 1.3230	203.0
        	        	0642-166  	        	        	DA2+A0V  	 	RE                        	 8.39	      	      	   	       	
        	        	0642-166  	        	        	         	 	A CMA B      LFT0486      	 8.44	-0.030	-1.040	   	 1.3200	204.0
        	        	0413-077  	        	        	         	 	EG033        40 ERI B     	 9.50	      	      	   	       	
063.8382	 -7.6585	0413-077  	04 13 03	-07 44.1	DA4      	b	             GL 166B      	 9.52	 0.030	-0.680	   	 4.0800	213.0
        	        	0413-077  	        	        	         	*	G160-060     LP007-781A   	 9.53	 0.030	-0.680	   	       	
        	        	1944-421  	        	        	         	 	                          	10.33	      	      	   	       	
296.9161	-42.0097	1944-421  	19 44 12	-42 08.0	PEC      	 	                          	10.40	 0.000	-0.800	   	 0.0420	152.0
327.7963	+28.8648	2148+286  	21 48 57	+28 37.8	DA       	 	             BD+28 4211   	10.53	-0.340	-1.260	   	       	
114.8291	 +5.2203	0736+053  	07 36 42	+05 21.0	DA       	b	             A CMI B      	10.70	      	      	   	 1.2510	214.7
        	        	0736+053  	        	        	DQZ6.5   	 	EG053                     	10.82	      	      	   	       	
        	        	0736+053  	        	        	DA4+F5IV 	 	                          	10.92	      	      	   	       	
        	        	1620-391  	        	        	DA2.1    	 	GR274        RE           	10.97	-0.140	-0.960	   	 0.0780	 96.0
        	        	1620-391  	        	        	DA       	 	                          	10.98	      	      	   	       	
245.8888	-39.2306	1620-391  	16 20 10	-39 06.9	DA2      	*	162333-391355CD-38 10980  	11.00	-0.140	-0.960	   	 0.0800	
        	        	1620-391  	        	        	DA2.1    	 	                          	11.00	-0.145	-0.955	   	       	
        	        	1620-391  	        	        	         	 	                          	11.01	 0.140	-0.960	   	 0.0740	 88.1
183.5455	-17.2446	1211-169  	12 11 36	-16 58.0	DAH      	*	             HS           	11.10	      	      	   	       	
159.9030	+43.1026	1036+433  	10 36 41	+43 21.8	DA       	 	             FEIGE 034    	11.22	-0.300	-1.280	   	       	
        	        	1043-188  	        	        	DQ9      	 	                          	11.24	      	      	   	 1.9800	250.0
047.6154	-68.6131	0310-688  	03 10 00	-68 48.0	DA3      	*	             CPD-69 177   	11.40	 0.050	-0.550	   	 0.0900	147.0
        	        	1142-645  	        	        	DQ5.9    	 	LP145-141    LHS 043      	11.44	 0.190	-0.590	   	 2.6800	 97.0
        	        	1142-645  	        	        	         	 	                          	11.44	 0.130	-0.640	   	       	
        	        	1142-645  	        	        	         	 	                          	11.49	 0.170	      	   	       	
        	        	1142-645  	        	        	DQ6.4    	 	BPM07108     NLTT28447    	11.50	      	      	  0	 1.1870	107.2
        	        	1142-645  	        	        	         	 	                          	11.50	 0.180	-0.630	   	 2.6400	 96.8
        	        	1148-230  	        	        	DA       	 	                          	11.50	      	      	   	       	
        	        	2032+248  	        	        	DA2.3    	 	LHS3562      LTT16005     	11.51	-0.070	-0.870	   	 0.6700	212.8
        	        	1142-645  	        	        	         	 	L0145-141    LFT0844      	11.52	 0.190	-0.630	   	 2.6800	 96.0
